Subject,Subset,Trial,Assistance,Training,ergodicity,error,successtime,tts
4,5,5,1,1,0.44193500000000002,0.58036699999999997,1.8,8.7583330000000004
4,12,1,0,1,0.78066000000000002,0.65367399999999998,0.0,30.008333
4,6,1,1,1,0.342528,0.49874299999999999,1.6000000000000001,11.508333
4,12,2,0,1,0.71220399999999995,0.62122200000000005,0.0,30.008333
4,6,2,1,1,0.60029399999999999,0.63311600000000001,0.63333300000000003,21.274999999999999
4,12,3,0,1,1.1010949999999999,0.75419899999999995,0.0,30.008333
4,6,3,1,1,0.412912,0.52598699999999998,0.23333300000000001,6.5416670000000003
4,12,4,0,1,0.84395399999999998,0.66474699999999998,0.0,30.008333
4,6,4,1,1,0.45747900000000002,0.56568399999999996,1.7,17.858333999999999
4,12,5,0,1,0.65767500000000001,0.61035899999999998,0.0,30.008333
4,6,5,1,1,0.60354200000000002,0.68853699999999995,2.3500000000000001,25.225000000000001
5,1,1,0,0,0.595391,0.58542899999999998,0.0,30.008333
5,7,1,1,0,0.50046900000000005,0.60843700000000001,1.6166670000000001,21.441668
5,1,2,0,0,0.590306,0.60473200000000005,0.10000000000000001,16.708334000000001
5,7,2,1,0,0.47991200000000001,0.58616599999999996,1.516667,17.508333
5,1,3,0,0,0.712391,0.62683199999999994,0.0,30.008333
5,7,3,1,0,0.44783400000000001,0.57567299999999999,1.8500000000000001,23.108333999999999
5,1,4,0,0,0.72628999999999999,0.62609300000000001,0.0,30.008333
5,7,4,1,0,0.48097400000000001,0.59436599999999995,2.2999999999999998,12.408334
5,1,5,0,0,0.69305899999999998,0.62092999999999998,0.0,30.008333
5,7,5,1,0,0.418462,0.57973399999999997,3.5666669999999998,15.058332999999999
5,2,1,0,0,0.803145,0.64529499999999995,0.0,30.008333
5,8,1,1,0,0.42235499999999998,0.56674400000000003,1.6166670000000001,13.625
5,2,2,0,0,0.66425100000000004,0.60635300000000003,0.0,30.008333
5,8,2,1,0,0.45862000000000003,0.57227499999999998,1.0333330000000001,11.475
5,2,3,0,0,0.499668,0.57134600000000002,2.1499999999999999,12.358333999999999
5,8,3,1,0,0.40414499999999998,0.53157900000000002,0.81666700000000003,7.4749999999999996
5,2,4,0,0,0.74817500000000003,0.62469399999999997,0.0,30.008333
5,8,4,1,0,0.44073099999999998,0.54876800000000003,1.2833330000000001,14.058332999999999
5,2,5,0,0,0.55687900000000001,0.57782,0.29999999999999999,18.575001
5,8,5,1,0,0.31687900000000002,0.52473599999999998,6.4500000000000002,8.4416670000000007
5,3,1,0,0,0.74031400000000003,0.62387899999999996,0.0,30.008333
5,9,1,1,0,0.349638,0.51164600000000005,3.9166669999999999,13.558332999999999
5,3,2,0,0,0.82924200000000003,0.64411200000000002,0.0,30.008333
5,9,2,1,0,0.33843800000000002,0.51856999999999998,4.2166670000000002,9.591666
5,3,3,0,0,0.58689000000000002,0.58701300000000001,0.86666699999999997,13.258333
5,9,3,1,0,0.43070399999999998,0.552624,2.0833330000000001,20.125
5,3,4,0,0,0.69103700000000001,0.620749,0.0,30.008333
5,9,4,1,0,0.33407700000000001,0.50231599999999998,3.3333330000000001,9.1416660000000007
5,3,5,0,0,0.52955399999999997,0.577044,0.88333300000000003,17.258333
5,9,5,1,0,0.43760599999999999,0.571133,3.1833330000000002,12.408334
5,4,1,0,0,0.70416699999999999,0.61973599999999995,0.0,30.008333
5,10,1,1,0,0.47713299999999997,0.55232199999999998,1.45,15.141666000000001
5,4,2,0,0,0.53656400000000004,0.58198499999999997,0.31666699999999998,17.274999999999999
5,10,2,1,0,0.21620400000000001,0.49534400000000001,12.233333,10.091666
5,4,3,0,0,0.66903500000000005,0.60616099999999995,0.0,30.008333
5,10,3,1,0,0.33976699999999999,0.52786900000000003,4.1666670000000003,8.8249999999999993
5,4,4,0,0,0.73788299999999996,0.62171200000000004,0.0,30.008333
5,10,4,1,0,0.339507,0.51251000000000002,2.733333,9.1916670000000007
5,4,5,0,0,0.74506899999999998,0.62085800000000002,0.0,30.008333
5,10,5,1,0,0.31731799999999999,0.50722400000000001,4.733333,11.208333
5,5,1,0,0,0.68962699999999999,0.61954200000000004,0.016667000000000001,18.841667000000001
5,11,1,1,0,0.25270700000000001,0.48519899999999999,7.1333330000000004,9.6916670000000007
5,5,2,0,0,0.71756600000000004,0.62545499999999998,0.0,30.008333
5,11,2,1,0,0.419155,0.55537800000000004,2.2000000000000002,17.725000000000001
5,5,3,0,0,0.60156100000000001,0.59468699999999997,0.0,30.008333
5,11,3,1,0,0.47396700000000003,0.59141200000000005,1.8999999999999999,12.158334
5,5,4,0,0,0.65283999999999998,0.61451999999999996,0.26666699999999999,14.758333
5,11,4,1,0,0.40362599999999998,0.56148799999999999,4.2000000000000002,10.725
5,5,5,0,0,0.48807499999999998,0.56972599999999995,1.45,8.408334
5,11,5,1,0,0.42259099999999999,0.59656500000000001,6.7999999999999998,17.108333999999999
5,6,1,0,0,0.57860800000000001,0.58079400000000003,0.0,30.008333
5,12,1,1,0,0.35145199999999999,0.52863099999999996,2.8999999999999999,10.925000000000001
5,6,2,0,0,0.56512399999999996,0.57834600000000003,1.566667,13.491667
5,12,2,1,0,0.32307599999999997,0.50143800000000005,3.233333,11.791667
5,6,3,0,0,0.74663999999999997,0.62829599999999997,0.0,30.008333
5,12,3,1,0,0.29073900000000003,0.49523299999999998,4.5333329999999998,7.2750000000000004
5,6,4,0,0,0.55296900000000004,0.58466399999999996,0.71666700000000005,21.875
5,12,4,1,0,0.34886400000000001,0.52707099999999996,4.0833329999999997,10.258333
5,6,5,0,0,0.58821100000000004,0.58075299999999996,0.0,30.008333
